id,text,label,split,difficulty,ood_flag,speaker_type,style_type,label_reason,ood_subtype,source_file
row_0001,I still need a time to come in and haven’t been able to get one confirmed.,Appointment Scheduling,train,easy,0,patient,slightly_frustrated,,,appointment_scheduling_60_mixed.csv
row_0002,Please put me down for the soonest time you have available.,Appointment Scheduling,train,easy,0,patient,short_direct,,,appointment_scheduling_60_mixed.csv
row_0003,Can someone help me figure out when I can be seen again? I’m trying to plan around work and need to know my options.,Appointment Scheduling,train,hard,0,patient,medium_realistic,"The core request is for available visit options, which is best routed to Appointment Scheduling.",,appointment_scheduling_60_mixed.csv
row_0004,I still don’t have a confirmed date to come in. Please let me know what you have available.,Appointment Scheduling,train,easy,0,patient,slightly_frustrated,,,appointment_scheduling_60_mixed.csv
row_0005,I’d like to book a routine follow-up and wanted to see what times are open next week.,Appointment Scheduling,train,easy,0,patient,medium_realistic,,,appointment_scheduling_60_mixed.csv
row_0006,I’m hoping to arrange a visit for my father sometime early next week.,Appointment Scheduling,train,easy,0,caregiver,medium_realistic,,,appointment_scheduling_60_mixed.csv
row_0007,"I’m reaching out for my husband because we need to get him on the calendar, but we’re not sure what your earliest opening would be.",Appointment Scheduling,train,hard,0,caregiver,medium_realistic,"The message is about booking a future visit time, which makes Appointment Scheduling the best label.",,appointment_scheduling_60_mixed.csv
row_0008,"Good morning, I’m writing on behalf of my mother. We know she needs to be seen again, but we haven’t been able to pin down a time yet and would appreciate help arranging that.",Appointment Scheduling,train,hard,0,caregiver,email_style_long,"The primary need is arranging a follow-up visit, making Appointment Scheduling the best routing label.",,appointment_scheduling_60_mixed.csv
row_0009,"Hello, I’m contacting you for my husband because we need to set up his next office visit. Our preference would be something in the morning.",Appointment Scheduling,train,easy,0,caregiver,email_style_long,,,appointment_scheduling_60_mixed.csv
row_0010,Can you schedule my daughter for the next available opening?,Appointment Scheduling,train,easy,0,caregiver,short_direct,,,appointment_scheduling_60_mixed.csv
